Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_time,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,intentional_duplicate (run),LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,source_name,SRA Study,tissue
SRR13520818,RNA-Seq,assembly,281,7833869700,PRJNA694629,SAMN17528330,1422515334,GEO,0 Days After Anthesis (DAA),public,"sra,bam,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX9931823,GSM5033711,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:12:00Z,1,GSM5033711,Domesticated variety,Criollo de Morelos (CM334),SRP303149,Whole fruit
SRR13520819,RNA-Seq,assembly,281,7546008750,PRJNA694629,SAMN17528358,1410936087,GEO,0 Days After Anthesis (DAA),public,"sra,run.zq,bam","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX9931824,GSM5033712,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:18:00Z,1,GSM5033712,Domesticated variety,Criollo de Morelos (CM334),SRP303149,Whole fruit
SRR13520820,RNA-Seq,assembly,281,5527515900,PRJNA694629,SAMN17528468,1221796537,GEO,10 Days After Anthesis (DAA),public,"bam,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX9931825,GSM5033713,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:12:00Z,1,GSM5033713,Domesticated variety,Criollo de Morelos (CM334),SRP303149,Whole fruit
SRR13520821,RNA-Seq,assembly,281,7126071600,PRJNA694629,SAMN17528467,1374530347,GEO,10 Days After Anthesis (DAA),public,"bam,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX9931826,GSM5033714,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:21:00Z,1,GSM5033714,Domesticated variety,Criollo de Morelos (CM334),SRP303149,Whole fruit
SRR13520822,RNA-Seq,assembly,282,6347765850,PRJNA694629,SAMN17528466,1309936469,GEO,20 Days After Anthesis (DAA),public,"run.zq,sra,bam","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX9931827,GSM5033715,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:31:00Z,1,GSM5033715,Domesticated variety,Criollo de Morelos (CM334),SRP303149,Whole fruit
SRR13520823,RNA-Seq,assembly,282,6667053600,PRJNA694629,SAMN17528587,1328314734,GEO,20 Days After Anthesis (DAA),public,"run.zq,bam,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX9931828,GSM5033716,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:14:00Z,1,GSM5033716,Domesticated variety,Criollo de Morelos (CM334),SRP303149,Whole fruit
SRR13520824,RNA-Seq,assembly,281,6102223050,PRJNA694629,SAMN17528586,1261054675,GEO,30 Days After Anthesis (DAA),public,"run.zq,bam,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX9931829,GSM5033717,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:16:00Z,1,GSM5033717,Domesticated variety,Criollo de Morelos (CM334),SRP303149,Whole fruit
SRR13520825,RNA-Seq,assembly,281,5485889250,PRJNA694629,SAMN17528585,1216854752,GEO,30 Days After Anthesis (DAA),public,"bam,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX9931830,GSM5033718,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:15:00Z,1,GSM5033718,Domesticated variety,Criollo de Morelos (CM334),SRP303149,Whole fruit
SRR13520826,RNA-Seq,assembly,281,5526917100,PRJNA694629,SAMN17528584,1221241129,GEO,40 Days After Anthesis (DAA),public,"run.zq,bam,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX9931831,GSM5033719,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:19:00Z,1,GSM5033719,Domesticated variety,Criollo de Morelos (CM334),SRP303149,Whole fruit
SRR13520827,RNA-Seq,assembly,280,5629619400,PRJNA694629,SAMN17528583,1241941250,GEO,40 Days After Anthesis (DAA),public,"run.zq,bam,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX9931832,GSM5033720,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:17:00Z,1,GSM5033720,Domesticated variety,Criollo de Morelos (CM334),SRP303149,Whole fruit
SRR13520828,RNA-Seq,assembly,281,8563214400,PRJNA694629,SAMN17528582,1482130233,GEO,50 Days After Anthesis (DAA),public,"run.zq,bam,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX9931833,GSM5033721,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:18:00Z,1,GSM5033721,Domesticated variety,Criollo de Morelos (CM334),SRP303149,Whole fruit
SRR13520829,RNA-Seq,assembly,282,6606751650,PRJNA694629,SAMN17528581,1303655742,GEO,50 Days After Anthesis (DAA),public,"run.zq,bam,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX9931834,GSM5033722,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:09:00Z,1,GSM5033722,Domesticated variety,Criollo de Morelos (CM334),SRP303149,Whole fruit
SRR13520830,RNA-Seq,assembly,281,5714527950,PRJNA694629,SAMN17528580,1251274156,GEO,60 Days After Anthesis (DAA),public,"sra,bam,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9931835,GSM5033723,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:17:00Z,1,GSM5033723,Domesticated variety,Criollo de Morelos (CM334),SRP303149,Whole fruit
SRR13520831,RNA-Seq,assembly,281,7009746450,PRJNA694629,SAMN17528579,1379698848,GEO,60 Days After Anthesis (DAA),public,"run.zq,sra,bam","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX9931836,GSM5033724,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:15:00Z,1,GSM5033724,Domesticated variety,Criollo de Morelos (CM334),SRP303149,Whole fruit
SRR13520832,RNA-Seq,assembly,277,6089926500,PRJNA694629,SAMN17528578,1272466334,GEO,0 Days After Anthesis (DAA),public,"sra,bam,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX9931837,GSM5033725,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:24:00Z,1,GSM5033725,Wild accession (C. a. var. glabriusculum),Piquin Coahuila,SRP303149,Whole fruit
SRR13520833,RNA-Seq,assembly,280,6491271450,PRJNA694629,SAMN17528493,1293591621,GEO,0 Days After Anthesis (DAA),public,"run.zq,bam,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX9931838,GSM5033726,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:11:00Z,1,GSM5033726,Wild accession (C. a. var. glabriusculum),Piquin Coahuila,SRP303149,Whole fruit
SRR13520834,RNA-Seq,assembly,280,5301982350,PRJNA694629,SAMN17528492,1182903163,GEO,10 Days After Anthesis (DAA),public,"sra,run.zq,bam","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX9931938,GSM5033727,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:21:00Z,1,GSM5033727,Wild accession (C. a. var. glabriusculum),Piquin Coahuila,SRP303149,Whole fruit
SRR13520835,RNA-Seq,assembly,274,5349153600,PRJNA694629,SAMN17528491,1198347120,GEO,10 Days After Anthesis (DAA),public,"bam,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX9931939,GSM5033728,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:16:00Z,1,GSM5033728,Wild accession (C. a. var. glabriusculum),Piquin Coahuila,SRP303149,Whole fruit
SRR13520836,RNA-Seq,assembly,276,4791750300,PRJNA694629,SAMN17528490,1157069373,GEO,20 Days After Anthesis (DAA),public,"bam,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX9931940,GSM5033729,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:32:00Z,1,GSM5033729,Wild accession (C. a. var. glabriusculum),Piquin Coahuila,SRP303149,Whole fruit
SRR13520837,RNA-Seq,assembly,278,6382936500,PRJNA694629,SAMN17528489,1283269647,GEO,20 Days After Anthesis (DAA),public,"sra,bam,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX9931941,GSM5033730,Illumina NovaSeq 6000,,SINGLE,cDNA,TRANSCRIPTOMIC,Capsicum annuum,ILLUMINA,2021-03-16T00:00:00Z,2021-02-05T21:13:00Z,1,GSM5033730,Wild accession (C. a. var. glabriusculum),Piquin Coahuila,SRP303149,Whole fruit
