"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX19311326","RNA-seq of Capsicum chinense L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710485","","2076.53","1","24976086","6889061205","HDL2_a_1","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311325","RNA-seq of Capsicum chinense L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710486","","2011.07","1","24890862","6702740883","HDL1_c_3","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311324","RNA-seq of Capsicum chinense L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710484","","1996.16","1","24911163","6688640233","HDL1_c_2","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311323","RNA-seq of Capsicum chinense L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710483","","2024.19","1","24957547","6802360523","HDL1_c_1","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311322","RNA-seq of Capsicum chinense L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710481","","1903.75","1","23602099","6431579753","HDL1_b_3","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311321","RNA-seq of Capsicum chinense L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710482","","1947.48","1","24347229","6543379674","HDL1_b_2","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311320","RNA-seq of Capsicum annuum L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710480","","1906.57","1","23483153","6421858272","CTJ_c_3","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311319","RNA-seq of Capsicum annuum L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710479","","1913.75","1","23608792","6455876869","CTJ_c_2","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311318","RNA-seq of Capsicum annuum L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710478","","1906.34","1","23450325","6436969734","CTJ_c_1","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311317","RNA-seq of Capsicum annuum L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710477","","2056.19","1","25205984","6940254910","CTJ_b_3","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311316","RNA-seq of Capsicum annuum L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710476","","1867.1","1","22937036","6224770183","CTJ_b_2","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311315","RNA-seq of Capsicum annuum L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710475","","1901.83","1","23395542","6348135172","CTJ_b_1","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311314","RNA-seq of Capsicum chinense L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710474","","1973.72","1","24345587","6628545865","HDL1_b_1","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311313","RNA-seq of Capsicum annuum L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710473","","1928.75","1","23675355","6462939331","CTJ_a_3","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311312","RNA-seq of Capsicum annuum L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710472","","1886.35","1","23055732","6313395172","CTJ_a_2","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311311","RNA-seq of Capsicum annuum L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710471","","1885.74","1","22872636","6303064556","CTJ_a_1","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311310","RNA-seq of Capsicum chinense L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710470","","1915.62","1","23736455","6384011406","GJ_c_3","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311309","RNA-seq of Capsicum chinense L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710469","","1944.26","1","24103267","6486703761","GJ_c_2","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311308","RNA-seq of Capsicum chinense L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710468","","1944.99","1","24189077","6488130810","GJ_c_1","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311307","RNA-seq of Capsicum chinense L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710467","","1967.29","1","24188948","6634920028","GJ_b_3","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311306","RNA-seq of Capsicum chinense L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710466","","1939.18","1","23928889","6554575164","GJ_b_2","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX19311305","RNA-seq of Capsicum chinense L:fruit","Capsicum annuum","Illumina HiSeq 2500","Hainan University, China","SRP421455","Capsicum annuum Transcriptome or Gene expression","SRS16710465","","1964.03","1","24443287","6655496105","GJ_b_1","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
