"","Run","LibraryName","BioProject","ScientificName","avgLength","LibraryStrategy","Platform","Sample","LibraryLayout","LibrarySelection"
"1","DRR285481","HB-peri1","PRJDB11441","Capsicum chinense",202,"RNA-Seq","ILLUMINA","DRS292969","PAIRED","PolyA"
"2","DRR285482","HB-peri2","PRJDB11441","Capsicum chinense",250,"RNA-Seq","ILLUMINA","DRS292970","PAIRED","PolyA"
"3","DRR285483","HB-peri3","PRJDB11441","Capsicum chinense",300,"RNA-Seq","ILLUMINA","DRS292971","PAIRED","PolyA"
"4","DRR285484","MY-peri1","PRJDB11441","Capsicum chinense",202,"RNA-Seq","ILLUMINA","DRS292972","PAIRED","PolyA"
"5","DRR285485","MY-peri2","PRJDB11441","Capsicum chinense",250,"RNA-Seq","ILLUMINA","DRS292973","PAIRED","PolyA"
"6","DRR285486","MY-peri3","PRJDB11441","Capsicum chinense",300,"RNA-Seq","ILLUMINA","DRS292974","PAIRED","PolyA"
"7","DRR285487","HB-pla1","PRJDB11441","Capsicum chinense",202,"RNA-Seq","ILLUMINA","DRS292975","PAIRED","PolyA"
"8","DRR285488","HB-pla2","PRJDB11441","Capsicum chinense",250,"RNA-Seq","ILLUMINA","DRS292976","PAIRED","PolyA"
"9","DRR285489","HB-pla3","PRJDB11441","Capsicum chinense",300,"RNA-Seq","ILLUMINA","DRS292977","PAIRED","PolyA"
"10","DRR285490","MY-pla1","PRJDB11441","Capsicum chinense",250,"RNA-Seq","ILLUMINA","DRS292978","PAIRED","PolyA"
"11","DRR285491","MY-pla2","PRJDB11441","Capsicum chinense",250,"RNA-Seq","ILLUMINA","DRS292979","PAIRED","PolyA"
"12","DRR285492","MY-pla3","PRJDB11441","Capsicum chinense",300,"RNA-Seq","ILLUMINA","DRS292980","PAIRED","PolyA"
"13","DRR099194","total RNA from Capsicum leaves of Charapita","PRJDB5966","Capsicum chinense",0,"RNA-Seq","ILLUMINA","DRS104103","PAIRED","PolyA"
"14","DRR099195","total RNA from Capsicum leaves of Aji Rojo Hot Peppers","PRJDB5966","Capsicum baccatum var. baccatum",0,"RNA-Seq","ILLUMINA","DRS104104","PAIRED","PolyA"
"15","DRR099196","total RNA from Capsicum leaves of Aji Rojo Hot Peppers x 110","PRJDB5966","Capsicum baccatum var. baccatum x Capsicum annuum var. annuum",0,"RNA-Seq","ILLUMINA","DRS104105","PAIRED","PolyA"
"16","DRR099197","total RNA from Capsicum leaves of 110","PRJDB5966","Capsicum annuum var. annuum",0,"RNA-Seq","ILLUMINA","DRS104106","PAIRED","PolyA"
"17","DRR099198","total RNA from Capsicum leaves of 110 x Aji Rojo Hot Peppers","PRJDB5966","Capsicum annuum var. annuum x Capsicum baccatum var. baccatum",0,"RNA-Seq","ILLUMINA","DRS104107","PAIRED","PolyA"
"18","DRR099199","total RNA from Capsicum leaves of 28","PRJDB5966","Capsicum baccatum var. baccatum",0,"RNA-Seq","ILLUMINA","DRS104108","PAIRED","PolyA"
"19","DRR099200","total RNA from Capsicum leaves of Charapita x 28","PRJDB5966","Capsicum chinense x Capsicum baccatum var. baccatum",0,"RNA-Seq","ILLUMINA","DRS104109","PAIRED","PolyA"
"20","DRR099201","total RNA from Capsicum leaves of Pun1","PRJDB5966","Capsicum chinense",0,"RNA-Seq","ILLUMINA","DRS104110","PAIRED","PolyA"
"21","DRR099202","total RNA from Capsicum leaves of Nikkou x Pun1","PRJDB5966","Capsicum annuum var. annuum x Capsicum chinense",0,"RNA-Seq","ILLUMINA","DRS104111","PAIRED","PolyA"
"22","DRR099203","total RNA from Capsicum leaves of Nikkou","PRJDB5966","Capsicum annuum var. annuum",0,"RNA-Seq","ILLUMINA","DRS104112","PAIRED","PolyA"
