Run,Center.Name,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample.Name,BioProject,create_date,AvgSpotLen,Bases,Bytes,tissue,Library.Name,geo_loc_name_country,geo_loc_name_country_continent,BioSampleModel,geo_loc_name,Cultivar,dev_stage,Age,isolate,Ecotype,treatment,sample_type,replicate,Collection_Date,Temp,source_name,collected_by,BIOMATERIAL_PROVIDER,genotype,Sample_name,AssemblyName,Collection_time,external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,intentional_duplicate..run.,growth_protocol,Developmental_stage,disease,isolation_source,Broker_name,Organism_part,Experimental_Factor._sampling_time..exp.,growth_condition,INSDC_center_alias,Scientific_Name,ENA.FIRST.PUBLIC,ENA.LAST.UPDATE,Host,lat_lon,estimated_size,isolation_and_growth_condition,number_of_replicons,plant_developmental_stage,plant_growth_medium,plant_structure,ID,PHENOTYPE,Library,timepoint,lab_host,Development_stage,agent,Group,inbred_line,time_point,strain,population,env_broad_scale,env_local_scale,env_medium,host_tissue_sampled,cell_line,growth_facility,light_regimen,organism_common_name,plant_treatment,ploidy,Sample_id,soil_ph,subspecific_genetic_lineage_name,subspecific_genetic_lineage_rank,watering_regimen,DPI,Host_Age,host_body_habitat,host_last_meal,host_life_stage,variety,tissue_type,Biosample_attributes,isol_growth_condt,Label,replication,Tissue,Sample.Name,Library.Name,Cultivar,dev_stage,Age,genotype,Sample_name,Scientific_Name,variety,tissue,Tissue,Tissue_type,BioProject,Variety,Condition,Study_type,Variety_type,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name
DRR285481,CIRA,DRX274938,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum chinense,ILLUMINA,2023,SAMD00292946,PRJDB11441,2023,202,4537177146,1952430151,NA,HB-peri1,NA,NA,NA,NA,Red Habanero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HB-peri_replicate1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAMD00292946,HB-peri1,Red Habanero,NA,NA,NA,HB-peri_replicate1,NA,NA,NA,NA,Pericarp,PRJDB11441,,,,,NA,NA,NA
DRR285482,CIRA,DRX274939,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum chinense,ILLUMINA,2023,SAMD00292947,PRJDB11441,2023,250,1158968000,392589651,NA,HB-peri2,NA,NA,NA,NA,Red Habanero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HB-peri_replicate2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAMD00292947,HB-peri2,Red Habanero,NA,NA,NA,HB-peri_replicate2,NA,NA,NA,NA,Pericarp,PRJDB11441,,,,,NA,NA,NA
DRR285483,CIRA,DRX274940,Illumina HiSeq 4000,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum chinense,ILLUMINA,2023,SAMD00292948,PRJDB11441,2023,300,5767502400,2290482365,NA,HB-peri3,NA,NA,NA,NA,Red Habanero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HB-peri_replicate3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAMD00292948,HB-peri3,Red Habanero,NA,NA,NA,HB-peri_replicate3,NA,NA,NA,NA,Pericarp,PRJDB11441,,,,,NA,NA,NA
DRR285484,CIRA,DRX274941,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum chinense,ILLUMINA,2023,SAMD00292949,PRJDB11441,2023,202,4486484438,1983568431,NA,MY-peri1,NA,NA,NA,NA,Moruga Scorpion Yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MY-peri_replicate1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAMD00292949,MY-peri1,Moruga Scorpion Yellow,NA,NA,NA,MY-peri_replicate1,NA,NA,NA,NA,Pericarp,PRJDB11441,,,,,NA,NA,NA
DRR285485,CIRA,DRX274942,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum chinense,ILLUMINA,2023,SAMD00292950,PRJDB11441,2023,250,1110018250,375718427,NA,MY-peri2,NA,NA,NA,NA,Moruga Scorpion Yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MY-peri_replicate2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAMD00292950,MY-peri2,Moruga Scorpion Yellow,NA,NA,NA,MY-peri_replicate2,NA,NA,NA,NA,Pericarp,PRJDB11441,,,,,NA,NA,NA
DRR285486,CIRA,DRX274943,Illumina HiSeq 4000,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum chinense,ILLUMINA,2023,SAMD00292951,PRJDB11441,2023,300,5502915300,2179870794,NA,MY-peri3,NA,NA,NA,NA,Moruga Scorpion Yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MY-peri_replicate3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAMD00292951,MY-peri3,Moruga Scorpion Yellow,NA,NA,NA,MY-peri_replicate3,NA,NA,NA,NA,Pericarp,PRJDB11441,,,,,NA,NA,NA
DRR285487,CIRA,DRX274944,Illumina HiSeq 2000,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum chinense,ILLUMINA,2023,SAMD00292952,PRJDB11441,2023,202,4642631246,2025244955,NA,HB-pla1,NA,NA,NA,NA,Red Habanero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HB-pla_replicate1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAMD00292952,HB-pla1,Red Habanero,NA,NA,NA,HB-pla_replicate1,NA,NA,NA,NA,Placenta,PRJDB11441,,,,,NA,NA,NA
DRR285488,CIRA,DRX274945,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum chinense,ILLUMINA,2023,SAMD00292953,PRJDB11441,2023,250,1195276750,406466496,NA,HB-pla2,NA,NA,NA,NA,Red Habanero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HB-pla_replicate2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAMD00292953,HB-pla2,Red Habanero,NA,NA,NA,HB-pla_replicate2,NA,NA,NA,NA,Placenta,PRJDB11441,,,,,NA,NA,NA
DRR285489,CIRA,DRX274946,Illumina HiSeq 4000,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum chinense,ILLUMINA,2023,SAMD00292954,PRJDB11441,2023,300,5302980900,2111283242,NA,HB-pla3,NA,NA,NA,NA,Red Habanero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HB-pla_replicate3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAMD00292954,HB-pla3,Red Habanero,NA,NA,NA,HB-pla_replicate3,NA,NA,NA,NA,Placenta,PRJDB11441,,,,,NA,NA,NA
DRR285490,CIRA,DRX274947,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Capsicum chinense,ILLUMINA,2023,SAMD00292955,PRJDB11441,2023,250,1281474500,433151180,NA,MY-pla1,NA,NA,NA,NA,Moruga Scorpion Yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MY-pla_replicate1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAMD00292955,MY-pla1,Moruga Scorpion Yellow,NA,NA,NA,MY-pla_replicate1,NA,NA,NA,NA,Placenta,PRJDB11441,,,,,NA,NA,NA
