Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
DRR099194,2019-07-20 17:12:53,2019-07-20 17:15:27,0,0,0,0,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/099/DRR099194.sralite.1,DRX092672,total RNA from Capsicum leaves of Charapita,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,180,0,ILLUMINA,Illumina HiSeq 3000,DRP005293,PRJDB5966,,555752,DRS104103,SAMD00089311,simple,80379,Capsicum chinense,SAMD00089311,,,,,,,no,,,,,KYOTO_AG,DRA006006,,public,010F679BA31257FAF77120CE425025F0,B123734442CB5B9435755CC81B1EB3B3
DRR099195,2019-07-20 17:12:53,2019-07-20 17:12:43,0,0,0,0,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/099/DRR099195.sralite.1,DRX092673,total RNA from Capsicum leaves of Aji Rojo Hot Peppers,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,180,0,ILLUMINA,Illumina HiSeq 3000,DRP005293,PRJDB5966,,555752,DRS104104,SAMD00089312,simple,165788,Capsicum baccatum var. baccatum,SAMD00089312,,,,,,,no,,,,,KYOTO_AG,DRA006006,,public,57770657EFC9A0B5B770BB13286A562D,A9012AEB140F0539E3FA99E6CF50D515
DRR099196,2019-07-20 17:12:53,2019-07-20 17:13:01,0,0,0,0,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/099/DRR099196.sralite.1,DRX092674,total RNA from Capsicum leaves of Aji Rojo Hot Peppers x 110,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,180,0,ILLUMINA,Illumina HiSeq 3000,DRP005293,PRJDB5966,,555752,DRS104105,SAMD00089313,simple,2023330,Capsicum baccatum var. baccatum x Capsicum annuum var. annuum,SAMD00089313,,,,,,,no,,,,,KYOTO_AG,DRA006006,,public,4F985E6E723CD1597CFB1968C493336D,0DC15E360E8BBD7C8CC608A5D560787C
DRR099197,2019-07-20 17:12:53,2019-07-20 17:14:25,0,0,0,0,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/099/DRR099197.sralite.1,DRX092675,total RNA from Capsicum leaves of 110,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,180,0,ILLUMINA,Illumina HiSeq 3000,DRP005293,PRJDB5966,,555752,DRS104106,SAMD00089314,simple,40321,Capsicum annuum var. annuum,SAMD00089314,,,,,,,no,,,,,KYOTO_AG,DRA006006,,public,90BFDEC3CD852EC462C08DFB1111C135,D814CAD377EB5639B3DF735DBED4564A
DRR099198,2019-07-20 17:12:53,2019-07-20 17:13:35,0,0,0,0,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/099/DRR099198.sralite.1,DRX092676,total RNA from Capsicum leaves of 110 x Aji Rojo Hot Peppers,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,180,0,ILLUMINA,Illumina HiSeq 3000,DRP005293,PRJDB5966,,555752,DRS104107,SAMD00089315,simple,2023331,Capsicum annuum var. annuum x Capsicum baccatum var. baccatum,SAMD00089315,,,,,,,no,,,,,KYOTO_AG,DRA006006,,public,704A2A59BA9E97C61657BB16AA494C97,6091AA26BD64976586E312DC81C22233
DRR099199,2019-07-20 17:12:53,2019-07-20 17:13:16,0,0,0,0,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/099/DRR099199.sralite.1,DRX092677,total RNA from Capsicum leaves of 28,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,180,0,ILLUMINA,Illumina HiSeq 3000,DRP005293,PRJDB5966,,555752,DRS104108,SAMD00089316,simple,165788,Capsicum baccatum var. baccatum,SAMD00089316,,,,,,,no,,,,,KYOTO_AG,DRA006006,,public,40B243898544EA29242B9F97788ADC12,BE2077EF71173FBD56F4AB12A3B720BC
DRR099200,2019-07-20 17:12:53,2019-07-20 17:13:41,0,0,0,0,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/099/DRR099200.sralite.1,DRX092678,total RNA from Capsicum leaves of Charapita x 28,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,180,0,ILLUMINA,Illumina HiSeq 3000,DRP005293,PRJDB5966,,555752,DRS104109,SAMD00089317,simple,2023332,Capsicum chinense x Capsicum baccatum var. baccatum,SAMD00089317,,,,,,,no,,,,,KYOTO_AG,DRA006006,,public,FA3D7D6DEA91A681D56311465D4D709E,32C1DA46D5D0308572516D54AC75E34B
DRR099201,2019-07-20 17:12:53,2019-07-20 17:13:48,0,0,0,0,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/099/DRR099201.sralite.1,DRX092679,total RNA from Capsicum leaves of Pun1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,180,0,ILLUMINA,Illumina HiSeq 3000,DRP005293,PRJDB5966,,555752,DRS104110,SAMD00089318,simple,80379,Capsicum chinense,SAMD00089318,,,,,,,no,,,,,KYOTO_AG,DRA006006,,public,51CC37C707A10A52F3B188CB421703BB,5A212C624DCBD44A7F549AA2AFF7AC1F
DRR099202,2019-07-20 17:12:53,2019-07-20 17:14:52,0,0,0,0,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/099/DRR099202.sralite.1,DRX092680,total RNA from Capsicum leaves of Nikkou x Pun1,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,180,0,ILLUMINA,Illumina HiSeq 3000,DRP005293,PRJDB5966,,555752,DRS104111,SAMD00089319,simple,2023333,Capsicum annuum var. annuum x Capsicum chinense,SAMD00089319,,,,,,,no,,,,,KYOTO_AG,DRA006006,,public,038D81EFF62B1898C4E07A7D6FBC0DE5,25E6E99997DA165A5599464315EBEA72
DRR099203,2019-07-20 17:12:53,2019-07-20 17:13:37,0,0,0,0,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/099/DRR099203.sralite.1,DRX092681,total RNA from Capsicum leaves of Nikkou,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,180,0,ILLUMINA,Illumina HiSeq 3000,DRP005293,PRJDB5966,,555752,DRS104112,SAMD00089320,simple,40321,Capsicum annuum var. annuum,SAMD00089320,,,,,,,no,,,,,KYOTO_AG,DRA006006,,public,0AFD6A351251D4E83D28327534DA3C0A,139C0B0A36EC73CF57A39C6EEF324F95
DRR099204,2019-07-20 17:12:53,2019-07-20 17:15:06,0,0,0,0,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/099/DRR099204.sralite.1,DRX092682,total RNA from Capsicum leaves of 28 x Charapita,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,180,0,ILLUMINA,Illumina HiSeq 3000,DRP005293,PRJDB5966,,555752,DRS104113,SAMD00089321,simple,2023334,Capsicum baccatum var. baccatum x Capsicum chinense,SAMD00089321,,,,,,,no,,,,,KYOTO_AG,DRA006006,,public,A95416EE9CBAA87A6BCB48B342C2A541,C17C37FBD8F314F27C1D469838F9D21C
